learners,acc,pre,auc,f1,pf,rec
l_knn,0.86,0.98,0.87,0.85,0.02,0.76
b_knn,0.55,0.55,0.5,0.71,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_rbf_svm,0.86,0.98,0.87,0.85,0.02,0.76
b_rbf_svm,0.55,0.55,0.5,0.71,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_lin_svm,0.6,0.94,0.63,0.43,0.02,0.28
b_lin_svm,0.55,0.55,0.5,0.71,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_log_reg,0.55,0.55,0.5,0.71,1.0,1.0
b_log_reg,0.55,0.55,0.5,0.71,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_naive_bayes,0.6,0.94,0.63,0.43,0.02,0.28
b_naive_bayes,0.49,1.0,0.54,0.14,0.0,0.07
learners,acc,pre,auc,f1,pf,rec
l_ran_forest,0.62,0.94,0.65,0.47,0.02,0.31
b_ran_forest,0.55,0.55,0.5,0.71,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_dec_tree,0.6,0.94,0.63,0.43,0.02,0.28
b_dec_tree,0.55,0.55,0.5,0.71,1.0,1.0
