learners,acc,pre,auc,f1,pf,rec
l_knn,0.96,0.99,0.96,0.96,0.01,0.94
b_knn,0.5,0.5,0.5,0.66,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_rbf_svm,0.96,0.99,0.96,0.96,0.01,0.94
b_rbf_svm,0.5,0.5,0.5,0.66,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_lin_svm,0.78,1.0,0.78,0.72,0.0,0.56
b_lin_svm,0.5,0.5,0.5,0.66,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_log_reg,0.5,0.5,0.5,0.66,1.0,1.0
b_log_reg,0.5,0.5,0.5,0.66,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_naive_bayes,0.83,1.0,0.83,0.79,0.0,0.66
b_naive_bayes,0.69,1.0,0.69,0.56,0.0,0.39
learners,acc,pre,auc,f1,pf,rec
l_ran_forest,0.78,1.0,0.78,0.72,0.0,0.56
b_ran_forest,0.5,0.5,0.5,0.66,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_dec_tree,0.78,1.0,0.78,0.72,0.0,0.56
b_dec_tree,0.5,0.5,0.5,0.66,1.0,1.0
