learners,acc,pre,auc,f1,pf,rec
l_knn,0.83,1.0,0.82,0.79,0.0,0.65
b_knn,0.49,0.49,0.5,0.66,1.0,1.0
l_rbf_svm,0.83,1.0,0.82,0.79,0.0,0.65
b_rbf_svm,0.49,0.49,0.5,0.66,1.0,1.0
l_lin_svm,0.64,1.0,0.64,0.43,0.0,0.27
b_lin_svm,0.49,0.49,0.5,0.66,1.0,1.0
l_log_reg,0.49,0.49,0.5,0.66,1.0,1.0
b_log_reg,0.49,0.49,0.5,0.66,1.0,1.0
l_naive_bayes,0.64,1.0,0.64,0.43,0.0,0.27
b_naive_bayes,0.6,1.0,0.59,0.32,0.0,0.19
l_ran_forest,0.72,1.0,0.72,0.6,0.0,0.43
b_ran_forest,0.49,0.49,0.5,0.66,1.0,1.0
l_dec_tree,0.64,1.0,0.64,0.43,0.0,0.27
b_dec_tree,0.49,0.49,0.5,0.66,1.0,1.0
