learners,acc,pre,auc,f1,pf,rec
l_knn,0.75,0.68,0.74,0.81,0.52,1.0
b_knn,0.52,0.52,0.5,0.68,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_rbf_svm,0.75,0.68,0.74,0.81,0.52,1.0
b_rbf_svm,0.52,0.52,0.5,0.68,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_lin_svm,0.6,1.0,0.61,0.36,0.0,0.22
b_lin_svm,0.52,0.52,0.5,0.68,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_log_reg,0.52,0.52,0.5,0.68,1.0,1.0
b_log_reg,0.52,0.52,0.5,0.68,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_naive_bayes,0.63,1.0,0.65,0.46,0.0,0.3
b_naive_bayes,0.52,1.0,0.54,0.14,0.0,0.07
learners,acc,pre,auc,f1,pf,rec
l_ran_forest,0.6,1.0,0.61,0.36,0.0,0.22
b_ran_forest,0.52,0.52,0.5,0.68,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_dec_tree,0.6,1.0,0.61,0.36,0.0,0.22
b_dec_tree,0.52,0.52,0.5,0.68,1.0,1.0
