learners,acc,pre,auc,f1,pf,rec
l_knn,0.79,0.98,0.83,0.8,0.02,0.68
b_knn,1.0,1.0,1.0,1.0,0.01,1.0
l_rbf_svm,0.8,0.99,0.84,0.81,0.01,0.68
b_rbf_svm,1.0,1.0,1.0,1.0,0.01,1.0
l_lin_svm,0.6,1.0,0.68,0.53,0.0,0.36
b_lin_svm,1.0,1.0,1.0,1.0,0.01,1.0
l_log_reg,0.95,0.92,0.93,0.96,0.15,1.0
b_log_reg,1.0,1.0,1.0,1.0,0.01,1.0
l_naive_bayes,0.63,0.99,0.71,0.59,0.01,0.42
b_naive_bayes,0.45,0.97,0.57,0.25,0.01,0.14
l_ran_forest,0.6,1.0,0.68,0.53,0.0,0.36
b_ran_forest,1.0,1.0,1.0,1.0,0.01,1.0
l_dec_tree,0.6,1.0,0.68,0.53,0.0,0.36
b_dec_tree,1.0,1.0,1.0,1.0,0.01,1.0
