learners,acc,pre,auc,f1,pf,rec
l_knn,0.63,0.61,0.59,0.74,0.74,0.91
b_knn,0.56,0.56,0.5,0.72,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_rbf_svm,0.63,0.61,0.59,0.74,0.74,0.91
b_rbf_svm,0.56,0.56,0.5,0.72,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_lin_svm,0.66,1.0,0.7,0.56,0.0,0.39
b_lin_svm,0.56,0.56,0.5,0.72,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_log_reg,0.56,0.56,0.5,0.72,1.0,1.0
b_log_reg,0.56,0.56,0.5,0.72,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_naive_bayes,0.68,1.0,0.72,0.61,0.0,0.44
b_naive_bayes,0.47,1.0,0.53,0.12,0.0,0.06
learners,acc,pre,auc,f1,pf,rec
l_ran_forest,0.66,1.0,0.7,0.56,0.0,0.39
b_ran_forest,0.56,0.56,0.5,0.72,1.0,1.0
learners,acc,pre,auc,f1,pf,rec
l_dec_tree,0.66,1.0,0.7,0.56,0.0,0.39
b_dec_tree,0.56,0.56,0.5,0.72,1.0,1.0
