Prefix_Suffix,having_Sub_Domain,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Google_Index,Result,URL,Target
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/home,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/about,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/jobs,Paypal
1,0,1,1,1,1,-1,-1,https://investor.paypal-corp.com/,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/public-policy,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/full-sitemap,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/enterprise,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/partner-program,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/ua/privacy-full,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/ua/legalhub-full,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/account-selection,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/merchant,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/paypal-safety-and-security,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/paypal-credit,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/pay-online,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/getting-started/get-account/overview,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/selfhelp/article/what-are-the-fees-for-paypal-accounts-faq690,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/pay-in-stores,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/pay-on-ebay,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/about-paypal-products,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/merchant,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/merchant-working-capital,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/credit-card-reader,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/express-checkout,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/point-of-sale-systems,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/send-money-online,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/requesting-payments,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/deals/,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=5ymlndbrka2aa,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=trt7h4zunafx4,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=57mr324rtylcc,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=a4upqmkrfmxws,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=x277bsxd8zgw6,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=6gw947y3fla4e,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=3j9cjcvvc2n8l,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=bf7xxfzd7ftga,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=j54gtt6k9lsmw,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=f392kmw5v9ktu,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/deals/?view=details&offerid=pr3gld3kaa5qg,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/returns,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/returns/terms,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/paypal-safety-and-security,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/security/seller-protection,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/social-innovation,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/us/webapps/mpp/social-innovation/powering-giving,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/fundraiser/hub,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/information-about-our-paypal-giving-fund-program,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/delivering-the-choice-and-flexibility-of-digital-payments,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/enabling-more-mobile-payments-in-partnership-with-google,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-credit-gives-a-boost-to-small-businesses,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/values-aligned-collaboration-unleashing-financial-health,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/cross-border-trade-paypals-400b-business,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/helping-take-the-pain-out-of-tax-time-for-small-business-owners,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypals-jayashree-sundaresan-channels-energy-into-positive-work,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/from-the-marine-corps-to-paypal-finding-purpose-after-service,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/irs-and-zoho-books-now-integrated-with-paypal,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypals-cnow-east-learning-engaging-with-mid-market-merchants,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/3-tax-season-success-tips-for-small-business-owners,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/digital-remittances-and-global-financial-health,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/mobile-world-congress-2017-context-the-next-gen-of-commerce,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/thank-you-to-our-community-of-customers,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-mobile-leadership-extends,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/xoom-employee-cooks-her-way-into-masterchef-indias-semifinals,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-to-acquire-tio-networks,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-delivers-on-customer-choice-11-partnerships-in-11-months,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/new-product-enhancements-built-with-and-for-small-businesses,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/sending-money-now-theres-a-bot-for-that,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-employee-puts-her-new-heart-to-good-use,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/digital-media-plays-on-merchants-must-stay-on-the-beat,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/four-ways-to-avoid-shopping-cart-abandonment,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/supporting-our-colleagues-around-the-world,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypals-fourth-quarter-and-full-year-2016-results,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/get-creative-this-valentines-day-shop-the-globe-with-paypal,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/the-dos-donts-of-starting-a-new-business,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/airbnbs-belinda-johnson-joins-paypals-board,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/6-things-to-consider-when-choosing-a-payments-processor,Paypal
-1,-1,1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/paypal-discover-partner-to-deliver-better-purchasing-experience,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/mark-your-calendars-us-merchant-2017-sales-tax-filing-dates,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-exceeds-971-million-in-charitable-giving-this-holiday,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/5-keys-to-sales-tax-compliance-for-us-online-sales,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/4-must-remember-tips-when-filing-your-sales-tax-returns,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/smart-resolutions-for-small-businesses-in-2017,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-partners-with-the-atlantic-to-host-inclusion-workshop,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/a-healthy-social-media-strategy-this-holiday-season-and-beyond,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-cash-adds-8-000-7-eleven-stores-to-its-us-availability,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-partners-with-citi-and-fis-to-drive-incremental-spend,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/how-a-small-specialty-ring-merchant-expanded-globally-with-paypal,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-named-best-place-to-work-for-lgbtq-equality,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/3-holiday-shopping-trends-from-thanksgiving-to-givingtuesday,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/gift-money-in-style-this-holiday-with-paypal-jonathan-adler,Paypal
-1,-1,1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-users-donated-more-than-48-million-on-givingtuesday,Paypal
-1,-1,-1,-1,1,1,-1,-1,https://www.paypal.com/stories/us/simplifying-payments-for-entrepreneurs-on-squarespace,Paypal
-1,-1,-1,-1,1,1,1,-1,https://www.paypal.com/stories/us/paypal-delivers-business-services-on-the-go,Paypal
