having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
1,0,-1,1,1,-0.8938,1.1537,1,-1,1,1,1,1.121,-0.7427,-0.5291,-0.8869,1,1,0,-1,1,-1,1,-1,-1,0,-1,1.2197,1,1,1
-1,0,-1,1,-1,-0.7864,1.2196,1,-1,1,1,-1,1.1702,-0.6861,-0.5131,-0.843,-1,-1,0,1,1,1,1,1,1,1,-1,1.1693,-1,-1,1
1,0,-1,1,1,-0.7934,-0.7975,-1,1,1,1,1,-0.8293,-0.7657,-0.6158,-0.7716,-1,-1,0,1,1,1,1,1,-1,-1,-1,1.2548,0,-1,-1
1,0,-1,1,1,-0.7734,1.3339,1,-1,1,1,-1,1.2116,-0.5338,1.22,-0.7517,1,1,0,1,1,1,1,1,-1,1,1,1.2769,0,1,1
-1,1,-1,1,-1,-0.8318,-0.6722,0,1,1,1,-1,-0.7086,-0.7836,1.2701,-0.6532,1,1,0,-1,1,-1,1,1,-1,-1,-1,1.194,0,1,-1
1,1,-1,1,1,-0.6645,-0.5865,-1,1,1,1,1,-0.7695,-0.8216,-0.7918,-0.7441,1,1,0,1,1,1,1,-1,-1,0,-1,1.1965,1,1,-1
1,-1,-1,-1,1,-0.6754,-0.4991,0,1,1,1,1,-0.794,-0.7504,-0.5799,-0.823,1,1,0,1,1,1,1,1,-1,-1,-1,1.2223,0,1,-1
1,1,1,1,1,-0.8618,-0.8886,1,-1,1,1,1,1.1199,-0.7551,-0.7566,-0.8719,-1,-1,0,-1,-1,-1,-1,1,-1,0,-1,1.1997,0,-1,1
1,1,1,1,1,-0.8339,-0.9008,-1,-1,1,1,-1,1.1341,-0.7467,-0.8113,-0.8849,1,1,0,1,1,1,1,1,1,0,-1,1.1226,-1,1,1
1,1,1,1,1,-0.8435,1.2015,0,-1,1,1,1,1.1981,-0.7602,-0.7142,-0.8519,1,1,0,1,1,1,1,1,1,1,-1,1.1885,-1,1,1
1,-1,1,1,1,-0.8059,-0.6085,-1,1,1,1,-1,-0.838,-0.7218,-0.7522,-0.8202,-1,-1,0,1,1,1,1,1,1,0,-1,1.2176,-1,-1,-1
1,0,1,1,1,-0.8441,-0.4375,0,1,1,1,1,-0.7732,-0.7839,-0.6921,-0.6516,-1,-1,0,1,1,1,1,1,-1,1,-1,1.2196,1,-1,-1
1,0,1,1,1,-0.7705,-0.8463,1,-1,-1,1,-1,-0.8536,-0.686,-0.667,-0.7139,1,1,0,-1,1,-1,-1,-1,-1,0,-1,1.2657,0,1,-1
1,0,1,1,1,-0.6892,-0.8468,-1,1,-1,1,1,-0.8293,-0.7701,-0.4576,-0.7035,1,1,0,-1,1,-1,1,-1,-1,0,-1,1.2419,0,1,-1
1,-1,1,1,1,1.2803,1.227,1,-1,1,1,-1,1.3435,1.353,-0.6027,-0.7065,1,1,0,1,1,1,1,1,-1,1,-1,1.4191,0,1,1
1,-1,1,1,1,-0.7594,-0.6727,-1,1,-1,-1,1,-0.7679,-0.8373,-0.7828,-0.6907,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,1.2941,-1,-1,-1
1,-1,1,1,1,-0.7286,-0.6866,0,1,-1,1,-1,-0.6784,-0.6727,-0.6361,-0.8371,-1,-1,0,-1,1,-1,1,1,-1,-1,-1,1.2694,0,-1,-1
1,-1,1,1,1,-0.7988,-0.842,1,-1,1,1,1,1.2016,-0.8121,-0.857,-0.8567,1,1,0,1,1,1,1,-1,-1,0,-1,1.2011,0,1,-1
1,-1,1,1,1,-0.696,-0.6061,-1,1,-1,-1,-1,-0.6705,-0.7956,-0.3793,-0.775,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,1.2698,0,-1,-1
1,-1,1,1,1,-0.7461,-0.6288,0,-1,-1,-1,1,-0.8032,-0.702,-0.3007,-0.8481,-1,-1,0,-1,1,-1,1,1,-1,0,-1,1.1636,0,-1,-1
-1,-1,-1,1,-1,1.2002,1.2513,1,1,1,1,-1,1.2203,-0.4999,-0.5026,-0.703,1,1,0,1,1,1,1,1,1,1,-1,1.2861,1,1,1
1,-1,1,1,1,-0.8531,1.2858,1,-1,-1,-1,1,1.2554,-0.4084,1.1757,-0.715,-1,-1,0,-1,1,-1,1,1,1,1,1,1.1406,0,-1,1
-1,-1,-1,1,-1,-0.813,-0.4217,0,-1,-1,-1,-1,-0.7388,-0.8467,1.2554,-0.6722,-1,-1,0,-1,1,-1,1,1,-1,0,-1,1.2147,-1,-1,-1
1,-1,1,1,-1,-0.6973,-0.8198,-1,1,1,1,1,-0.7701,-0.744,-0.6819,-0.8088,1,1,0,1,1,1,1,-1,-1,-1,-1,1.2391,-1,1,-1
1,-1,1,1,1,-0.8174,1.2585,1,-1,1,1,1,1.2256,1.165,-0.5468,-0.7722,-1,-1,0,1,1,1,1,1,1,1,1,1.1734,0,-1,1
-1,-1,-1,1,-1,-0.8043,1.1052,1,-1,1,1,-1,1.1631,-0.6967,-0.842,-0.8117,-1,-1,0,1,1,1,1,1,1,1,1,1.1182,-1,-1,1
1,-1,1,1,-1,-0.7633,-0.4615,0,-1,1,1,-1,-0.6798,-0.7839,1.2589,-0.6741,1,1,0,1,1,1,1,1,1,-1,-1,1.2977,0,1,-1
1,-1,1,1,-1,-0.8232,-0.6555,-1,1,1,1,1,-0.6613,-0.6555,-0.5498,-0.7574,1,1,0,1,1,1,1,-1,-1,-1,-1,1.2933,0,1,-1
1,1,1,-1,1,-0.7554,1.2219,1,-1,1,1,-1,1.2754,-0.5075,1.2935,1.247,1,1,0,1,1,1,1,1,-1,1,-1,1.1885,-1,1,1
1,1,1,1,1,-0.6434,1.2655,1,-1,-1,1,-1,1.3194,-0.5719,-0.2747,1.3664,1,1,0,-1,1,-1,1,1,1,1,-1,1.3621,-1,1,1
-1,-1,-1,1,1,-0.6801,-0.3352,0,-1,1,1,-1,-0.7806,-0.821,1.2642,-0.6951,-1,-1,0,1,1,1,1,1,-1,-1,-1,1.2849,0,-1,-1
1,-1,1,1,1,1.318,1.2587,1,-1,1,1,1,1.2334,1.342,1.4087,-0.75,1,1,0,1,1,1,1,1,1,1,-1,1.3299,0,1,1
1,-1,1,1,1,-0.7397,1.1994,1,-1,1,1,1,1.1791,-0.5761,1.1644,-0.8312,1,1,0,1,1,1,1,1,1,-1,1,1.2859,-1,1,1
1,-1,1,1,1,-0.7464,-0.6978,-1,1,1,1,1,-0.694,-0.8627,-0.5159,-0.782,1,1,0,1,1,1,1,-1,1,-1,-1,1.2512,1,1,-1
1,-1,1,1,1,-0.7744,1.1647,1,-1,1,1,-1,1.2727,-0.4108,1.1464,-0.8505,1,1,0,1,1,1,1,1,1,1,-1,1.1519,0,1,1
1,-1,1,1,1,-0.6591,-0.8186,-1,1,1,1,-1,-0.6966,-0.7942,-0.7756,-0.8432,1,1,0,1,1,1,1,1,-1,-1,-1,1.2312,1,1,-1
1,-1,1,1,1,-0.7422,-0.7321,-1,1,1,1,1,-0.8329,-0.8442,-0.6831,-0.826,1,1,0,1,1,1,1,-1,-1,-1,-1,1.3145,1,1,-1
1,-1,1,1,1,-0.7085,-0.4067,0,1,1,1,1,-0.6893,-0.6676,-0.7006,-0.7589,1,1,0,1,1,1,1,1,1,1,-1,1.3079,1,1,-1
1,-1,1,1,1,-0.7478,1.3028,1,-1,-1,-1,1,1.2391,1.2369,-0.8317,-0.8621,-1,1,0,-1,1,-1,1,1,1,1,1,1.1663,0,1,1
1,1,1,1,1,-0.7825,1.3461,1,-1,-1,1,1,1.2809,-0.2646,-0.4617,1.2059,1,1,0,-1,1,-1,1,1,-1,1,-1,1.3311,-1,1,1
1,-1,1,1,1,-0.7304,-0.5356,-1,1,1,1,1,-0.6783,-0.658,-0.793,-0.6807,1,1,0,1,1,1,1,-1,-1,-1,-1,1.3059,1,1,-1
1,-1,1,1,-1,-0.6649,1.2493,1,-1,1,1,1,1.2236,1.1902,-0.6853,-0.7938,1,1,1,1,1,1,1,1,1,1,1,1.2429,-1,1,1
-1,-1,-1,1,1,1.2973,1.1999,1,-1,1,1,-1,1.2811,-0.4563,-0.8126,-0.7717,1,1,0,1,1,1,1,1,-1,1,-1,1.3008,-1,1,1
1,-1,1,1,1,-0.6643,-0.6995,0,1,1,1,1,-0.6676,-0.708,-0.8071,-0.7485,-1,1,0,1,1,1,1,1,-1,-1,-1,1.2667,1,1,-1
1,-1,1,1,1,-0.8157,1.1957,1,-1,1,1,1,1.1281,-0.6976,-0.8737,-0.8906,1,1,0,1,1,1,1,1,-1,1,-1,1.1515,0,1,1
1,-1,1,-1,1,-0.6809,-0.8255,-1,1,1,1,1,-0.705,-0.7474,-0.6528,-0.7077,1,1,0,1,1,1,1,1,-1,-1,-1,1.1589,1,1,-1
1,-1,1,1,1,-0.7797,1.2471,1,-1,1,1,1,1.1862,-0.6228,-0.5438,-0.771,1,1,0,1,1,1,1,1,1,0,-1,1.1405,-1,1,1
1,-1,1,1,1,-0.7987,1.1483,1,-1,-1,1,1,1.1192,-0.7821,-0.9056,-0.8804,1,1,0,-1,1,-1,1,1,-1,1,1,1.1686,0,1,1
