having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
1,0,-1,1,1,-0.9373,-1.0,1,-1,1,1,1,-1.0,-0.0509,-0.0597,-0.9384,1,1,0,-1,1,-1,1,-1,-1,0,-1,0.931,1,1,1
-1,0,-1,1,-1,-0.9461,-1.0,1,-1,1,1,-1,-1.0,-0.0467,0.0507,-0.9534,-1,-1,0,1,1,1,1,1,1,1,-1,0.9585,-1,-1,1
1,0,-1,1,1,1.0,-0.9246,-1,1,1,1,1,1.0,1.0,-0.0687,1.0,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1.0,0,-1,-1
1,0,-1,1,1,-0.9004,0.9332,1,-1,1,1,-1,0.9051,-0.075,0.9277,-0.9039,1,1,0,1,1,1,1,1,-1,1,1,0.9161,0,1,1
-1,1,-1,1,-1,1.0,0.0848,0,1,1,1,-1,-0.9406,-0.9276,0.9329,-0.936,1,1,0,-1,1,-1,1,1,-1,-1,-1,-1.0,0,1,-1
1,1,-1,1,1,1.0,0.085,-1,1,1,1,1,1.0,1.0,1.0,-0.9291,1,1,0,1,1,1,1,-1,-1,0,-1,-1.0,1,1,-1
1,-1,-1,-1,1,-0.9363,-0.0728,0,1,1,1,1,-0.9401,1.0,0.0857,-0.9309,1,1,0,1,1,1,1,1,-1,-1,-1,-1.0,0,1,-1
1,1,1,1,1,-0.9475,1.0,-1,-1,1,1,-1,0.9639,-0.0344,-0.0422,1.0,1,1,0,1,1,1,1,1,1,0,-1,0.9498,-1,1,1
1,1,1,1,1,-0.9525,0.9409,0,-1,1,1,1,0.9304,0.0539,0.0479,-0.9563,1,1,0,1,1,1,1,1,1,1,-1,-1.0,-1,1,1
1,-1,1,1,1,1.0,0.0909,-1,1,1,1,-1,1.0,-0.9383,-0.9363,-0.9456,-1,-1,0,1,1,1,1,1,1,0,-1,0.9466,-1,-1,-1
1,0,1,1,1,-0.9477,0.0718,0,1,1,1,1,-0.9383,-0.9322,-0.9367,-0.9035,-1,-1,0,1,1,1,1,1,-1,1,-1,-1.0,1,-1,-1
1,0,1,1,1,-0.9156,-0.9404,1,-1,-1,1,-1,-0.9423,1.0,-0.0809,-0.9323,1,1,0,-1,1,-1,-1,-1,-1,0,-1,0.9107,0,1,-1
1,0,1,1,1,-0.9172,-0.9234,-1,1,-1,1,1,-0.9291,1.0,-0.0626,1.0,1,1,0,-1,1,-1,1,-1,-1,0,-1,0.9451,0,1,-1
1,-1,1,1,1,0.8864,-1.0,1,-1,1,1,-1,0.9223,-1.0,-0.0717,-0.8834,1,1,0,1,1,1,1,1,-1,1,-1,-1.0,0,1,1
1,-1,1,1,1,-0.9089,-0.9378,-1,1,-1,-1,1,1.0,1.0,1.0,1.0,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,0.9282,-1,-1,-1
1,-1,1,1,1,-0.9038,0.0703,0,1,-1,1,-1,1.0,1.0,0.0572,-0.9333,-1,-1,0,-1,1,-1,1,1,-1,-1,-1,-1.0,0,-1,-1
1,-1,1,1,1,-0.9628,1.0,1,-1,1,1,1,0.9721,-0.9509,1.0,1.0,1,1,0,1,1,1,1,-1,-1,0,-1,0.9665,0,1,-1
1,-1,1,1,1,-0.9465,-0.0947,-1,1,-1,-1,-1,-0.9374,-0.9226,-0.064,1.0,-1,-1,0,-1,1,-1,1,-1,-1,0,-1,0.9506,0,-1,-1
1,-1,1,1,1,1.0,0.0897,0,-1,-1,-1,1,1.0,-0.9102,-0.0797,1.0,-1,-1,0,-1,1,-1,1,1,-1,0,-1,0.9361,0,-1,-1
-1,-1,-1,1,-1,-1.0,0.9006,1,1,1,1,-1,0.905,-0.081,-0.0585,1.0,1,1,0,1,1,1,1,1,1,1,-1,-1.0,1,1,1
1,-1,1,1,1,1.0,-1.0,1,-1,-1,-1,1,-1.0,0.0809,-1.0,1.0,-1,-1,0,-1,1,-1,1,1,1,1,1,-1.0,0,-1,1
-1,-1,-1,1,-1,1.0,-0.0845,0,-1,-1,-1,-1,1.0,1.0,0.9493,-0.9167,-1,-1,0,-1,1,-1,1,1,-1,0,-1,-1.0,-1,-1,-1
1,-1,1,1,-1,-0.9403,-0.9454,-1,1,1,1,1,1.0,1.0,-0.9192,1.0,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,-1,1,-1
1,-1,1,1,1,1.0,0.9194,1,-1,1,1,1,-1.0,0.9101,-0.0867,-0.9072,-1,-1,0,1,1,1,1,1,1,1,1,-1.0,0,-1,1
-1,-1,-1,1,-1,1.0,-1.0,1,-1,1,1,-1,0.9609,-0.045,-0.9443,-0.9619,-1,-1,0,1,1,1,1,1,1,1,1,0.9668,-1,-1,1
1,-1,1,1,-1,-0.9521,-0.0787,0,-1,1,1,-1,1.0,-0.9163,-1.0,-0.9112,1,1,0,1,1,1,1,1,1,-1,-1,-1.0,0,1,-1
1,-1,1,1,-1,-0.9252,-0.0605,-1,1,1,1,1,-0.936,1.0,0.0808,1.0,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,0,1,-1
1,1,1,-1,1,1.0,-1.0,1,-1,1,1,-1,0.8858,0.1204,0.926,0.9145,1,1,0,1,1,1,1,1,-1,1,-1,-1.0,-1,1,1
1,1,1,1,1,-0.9019,0.9434,1,-1,-1,1,-1,0.9315,0.0788,-0.0829,0.9092,1,1,0,-1,1,-1,1,1,1,1,-1,-1.0,-1,1,1
-1,-1,-1,1,1,1.0,0.0638,0,-1,1,1,-1,-0.9331,1.0,0.9202,-0.9525,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1.0,0,-1,-1
1,-1,1,1,1,0.9078,-1.0,1,-1,1,1,1,0.8868,0.9062,-1.0,1.0,1,1,0,1,1,1,1,1,1,1,-1,0.9169,0,1,1
1,-1,1,1,1,-0.9417,0.9224,1,-1,1,1,1,0.9124,0.0667,-1.0,1.0,1,1,0,1,1,1,1,1,1,-1,1,-1.0,-1,1,1
1,-1,1,1,1,1.0,-0.935,-1,1,1,1,1,1.0,1.0,-0.0744,-0.9383,1,1,0,1,1,1,1,-1,1,-1,-1,0.9308,1,1,-1
1,-1,1,1,1,-0.9466,-1.0,1,-1,1,1,-1,0.9055,-0.0741,0.9329,-0.9185,1,1,0,1,1,1,1,1,1,1,-1,0.9378,0,1,1
1,-1,1,1,1,1.0,-0.9267,-1,1,1,1,-1,-0.9388,1.0,1.0,-0.9261,1,1,0,1,1,1,1,1,-1,-1,-1,0.9411,1,1,-1
1,-1,1,1,1,-0.9361,-0.929,-1,1,1,1,1,1.0,1.0,0.06,1.0,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,1,1,-1
1,-1,1,1,1,-0.9229,-0.0694,0,1,1,1,1,-0.9181,-0.9301,-0.9187,-0.9192,1,1,0,1,1,1,1,1,1,1,-1,-1.0,1,1,-1
1,-1,1,1,1,1.0,0.9348,1,-1,-1,-1,1,-1.0,0.9411,1.0,-0.9531,-1,1,0,-1,1,-1,1,1,1,1,1,0.9243,0,1,1
1,1,1,1,1,-0.9013,-1.0,1,-1,-1,1,1,0.9025,0.0905,0.0756,-1.0,1,1,0,-1,1,-1,1,1,-1,1,-1,-1.0,-1,1,1
1,-1,1,1,1,-0.9416,0.0604,-1,1,1,1,1,1.0,1.0,-0.9028,-0.9144,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,1,1,-1
1,-1,1,1,-1,1.0,0.9308,1,-1,1,1,1,0.9463,0.9155,-0.0692,-0.9457,1,1,1,1,1,1,1,1,1,1,1,-1.0,-1,1,1
-1,-1,-1,1,1,0.9361,-1.0,1,-1,1,1,-1,-1.0,0.0687,1.0,-0.9043,1,1,0,1,1,1,1,1,-1,1,-1,-1.0,-1,1,1
1,-1,1,1,1,1.0,0.0567,0,1,1,1,1,-0.917,1.0,1.0,-0.9324,-1,1,0,1,1,1,1,1,-1,-1,-1,-1.0,1,1,-1
1,-1,1,1,1,-0.9711,1.0,1,-1,1,1,1,-1.0,-0.038,-0.0482,-0.961,-1,1,0,1,1,1,1,1,-1,1,-1,-1.0,-1,1,1
1,1,1,1,1,1.0,-1.0,1,-1,1,1,1,-1.0,-0.0957,-0.9385,-1.0,-1,1,0,1,1,1,1,1,-1,0,-1,-1.0,0,1,1
1,-1,1,1,1,1.0,-1.0,1,-1,1,1,1,-1.0,0.0425,1.0,-0.9633,1,1,0,1,1,1,1,1,-1,1,-1,-1.0,0,1,1
1,-1,1,-1,1,1.0,-0.9209,-1,1,1,1,1,1.0,1.0,0.0757,1.0,1,1,0,1,1,1,1,1,-1,-1,-1,0.9171,1,1,-1
1,-1,1,1,1,1.0,0.9323,1,-1,1,1,1,-1.0,0.0566,-0.0652,1.0,1,1,0,1,1,1,1,1,1,0,-1,-1.0,-1,1,1
1,-1,1,1,1,-0.9543,0.9502,1,-1,-1,1,1,-1.0,-0.0567,1.0,-0.9642,1,1,0,-1,1,-1,1,1,-1,1,1,0.9463,0,1,1
1,-1,1,1,1,1.0,0.9177,1,-1,1,1,-1,-1.0,0.0548,-1.0,-0.9486,1,1,0,1,1,1,1,1,1,0,-1,0.9481,-1,1,1
-1,-1,-1,1,-1,-0.9408,-0.0877,0,-1,1,1,-1,1.0,1.0,0.9386,-0.921,1,1,1,-1,1,-1,1,1,-1,-1,-1,0.9059,0,1,-1
1,-1,1,1,1,-0.9184,-0.0875,0,1,-1,1,-1,1.0,-0.9102,-0.0803,-0.9275,1,1,0,-1,1,-1,1,1,1,-1,-1,0.9351,1,1,-1
1,-1,1,1,1,-0.9085,-1.0,1,-1,1,1,1,-1.0,-1.0,-0.0926,1.0,1,1,0,1,1,1,1,1,1,1,-1,0.9277,0,1,1
1,-1,1,1,1,1.0,-1.0,1,-1,1,1,1,0.9356,0.9359,-0.9171,-0.9447,1,1,0,1,1,1,1,1,1,0,1,0.9261,0,1,1
1,-1,1,1,1,1.0,1.0,1,-1,1,1,1,-1.0,-0.0522,-0.0378,-0.9522,1,1,0,1,1,1,1,1,1,1,1,-1.0,0,1,1
-1,-1,-1,1,-1,1.0,0.9496,1,-1,1,1,-1,-1.0,0.0552,-0.0619,1.0,1,-1,0,1,1,1,1,1,-1,1,-1,-1.0,-1,-1,1
1,-1,1,1,1,0.9382,-1.0,1,-1,-1,-1,1,0.9382,0.0754,0.0755,1.0,-1,1,0,-1,1,-1,1,1,-1,1,-1,-1.0,1,1,1
1,-1,1,1,1,-0.9261,1.0,-1,-1,1,1,1,1.0,-0.9333,0.0799,-0.9541,1,1,0,1,1,1,1,-1,-1,0,-1,0.9325,0,1,-1
1,-1,1,1,1,0.9435,0.9036,1,-1,1,1,1,0.9115,0.0617,0.0965,-0.9213,-1,1,0,1,1,1,1,1,-1,1,-1,0.9299,0,1,1
1,-1,1,1,1,-0.9444,-0.0702,0,-1,1,1,1,1.0,1.0,1.0,1.0,-1,1,0,1,1,1,1,1,-1,-1,-1,0.9443,0,1,-1
1,-1,1,1,1,-0.9693,1.0,1,-1,1,1,1,0.9694,0.0339,-0.0502,1.0,1,1,0,1,1,1,1,-1,1,1,-1,-1.0,0,1,1
1,-1,1,1,1,-0.9229,-1.0,1,-1,1,1,1,-1.0,0.0712,-1.0,1.0,1,1,0,1,1,1,1,1,-1,1,-1,0.9054,0,1,1
1,1,1,1,1,-0.9006,-1.0,1,-1,1,1,-1,0.9267,-0.0983,0.1025,-1.0,1,-1,0,1,1,1,1,1,1,1,-1,0.8985,0,-1,1
1,-1,1,1,1,-0.9472,1.0,-1,1,1,1,-1,-0.948,1.0,-0.085,1.0,1,-1,0,1,1,1,1,-1,-1,-1,-1,-1.0,1,-1,-1
1,-1,1,-1,1,-0.9192,-0.0853,0,-1,1,1,1,1.0,-0.9115,-1.0,-0.9265,1,1,0,1,1,1,1,1,1,1,-1,0.9492,0,1,-1
1,-1,1,1,1,1.0,-1.0,1,-1,1,1,1,-1.0,0.9164,1.0,-0.9281,1,1,0,1,1,1,1,1,1,1,-1,-1.0,1,1,1
1,-1,1,1,1,-0.9664,-1.0,1,-1,1,1,1,0.9489,-0.055,-0.9568,1.0,1,1,0,1,1,1,1,1,1,1,1,-1.0,0,1,1
1,-1,1,1,1,1.0,0.9354,1,-1,1,1,1,0.9132,-1.0,-0.0731,-0.9212,1,1,0,1,1,1,1,1,1,1,1,0.9092,0,1,1
1,-1,1,1,1,-0.9181,0.0686,-1,1,1,1,-1,1.0,1.0,-0.9421,-0.9215,1,-1,0,1,1,1,1,-1,-1,0,-1,0.925,1,-1,-1
1,-1,1,1,1,1.0,1.0,1,1,-1,1,1,1.0,-0.921,-0.0491,1.0,1,1,0,1,1,-1,1,-1,-1,-1,-1,-1.0,0,1,-1
1,-1,1,1,1,-1.0,-1.0,1,-1,1,1,1,-1.0,0.914,-0.11,1.0,1,1,0,1,1,1,1,1,1,1,-1,-1.0,0,1,1
1,-1,1,-1,1,1.0,0.072,0,-1,1,1,-1,-0.9145,-0.9434,-0.0848,-0.906,1,1,0,1,1,1,1,1,-1,-1,-1,-1.0,1,1,-1
1,-1,1,1,1,1.0,0.9346,1,-1,1,1,1,0.9309,0.072,-1.0,-0.9165,1,1,0,1,1,1,1,1,1,1,1,0.9371,0,1,1
1,-1,1,1,1,1.0,0.0974,-1,1,-1,1,1,-0.94,1.0,-0.0526,1.0,1,-1,0,1,1,-1,1,-1,-1,0,-1,0.9437,1,-1,-1
1,-1,1,1,1,1.0,0.9524,1,1,1,1,1,-1.0,-1.0,-0.9135,1.0,1,1,0,1,1,1,1,1,-1,-1,-1,-1.0,1,1,1
1,-1,1,1,1,-0.9485,-0.9695,-1,-1,1,1,1,0.965,-0.9514,-0.9707,-0.9678,1,1,0,1,1,1,1,-1,1,-1,-1,-1.0,0,1,-1
1,-1,1,1,1,-0.94,1.0,-1,-1,1,1,-1,1.0,-0.9291,-0.0848,1.0,1,1,0,1,1,1,1,-1,1,-1,-1,-1.0,0,1,-1
1,-1,1,1,1,1.0,0.9338,1,-1,1,1,1,0.9589,0.0704,-0.0378,-0.9493,1,1,0,1,1,1,1,1,-1,1,-1,0.9301,0,1,1
1,-1,1,1,1,-0.941,0.0771,0,1,1,1,1,-0.9024,-0.9351,-0.9306,-0.9403,1,1,0,1,1,1,1,1,-1,-1,-1,0.9396,1,1,-1
1,-1,1,1,1,-0.9231,0.0699,-1,1,1,1,1,-0.9394,1.0,-1.0,1.0,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,1,1,-1
1,-1,1,1,1,-0.9155,0.903,1,-1,1,1,1,0.9418,-1.0,0.0594,1.0,1,1,0,1,1,1,1,1,-1,1,-1,0.922,0,1,1
1,-1,1,1,1,1.0,-0.9517,-1,-1,1,1,-1,-1.0,-0.9662,1.0,-0.9597,-1,1,0,1,1,1,1,-1,-1,1,-1,-1.0,0,1,-1
1,-1,1,-1,1,-1.0,0.8714,1,-1,1,1,1,0.9211,-1.0,-1.0,1.0,1,1,0,1,1,1,1,1,1,1,-1,0.8579,0,1,1
1,-1,1,1,1,-0.9724,0.0429,-1,-1,1,1,1,-1.0,-0.9457,-0.9536,1.0,1,1,0,1,1,1,1,-1,1,1,-1,-1.0,0,1,-1
1,-1,1,1,1,-0.9299,-1.0,1,-1,1,1,1,0.9279,0.9211,-0.9258,-0.9333,1,1,0,1,1,1,1,1,-1,0,1,0.9513,1,1,1
1,-1,1,1,1,-0.9289,0.0819,-1,-1,1,1,1,-0.9235,-0.9245,0.0819,-0.9508,1,1,0,1,1,-1,1,-1,1,0,-1,0.9068,1,1,-1
1,-1,1,1,1,-0.9362,0.9433,1,1,1,1,1,0.9626,0.0639,-0.0637,1.0,1,1,0,1,1,1,1,1,1,0,-1,-1.0,1,1,1
1,-1,1,-1,1,-0.9392,-0.0703,0,1,1,1,1,1.0,1.0,0.0729,1.0,1,1,0,1,1,1,1,1,1,-1,-1,0.9327,1,1,-1
1,-1,1,1,1,-0.9418,0.9084,1,-1,1,1,1,-1.0,-0.0514,0.9465,1.0,1,1,0,1,1,1,1,1,1,1,-1,-1.0,0,1,1
1,-1,1,1,1,-0.9095,-1.0,1,-1,-1,-1,1,0.9081,0.9095,-0.0602,-0.9373,-1,1,0,1,1,-1,-1,1,1,1,-1,-1.0,1,1,1
1,-1,1,1,1,1.0,-0.0567,-1,1,1,1,1,1.0,-0.9167,-0.907,-0.9322,1,1,0,1,1,1,1,-1,-1,-1,-1,-1.0,0,1,-1
