Prefix_Suffix,having_Sub_Domain,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Google_Index,Result
-1,1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,1
-1,1,1,1,1,1,-1,1
-1,0,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
1,-1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,1,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,1
-1,-1,1,1,1,1,1,-1
-1,-1,1,1,1,1,1,-1
-1,0,1,1,1,1,1,1
-1,0,1,1,1,1,1,1
